[ 2025-06-05 02:09:41,847 ] 20 root - INFO - Initiate the data ingestion
[ 2025-06-05 02:09:43,503 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-06-05 02:09:43,503 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-05 02:09:43,503 ] 75 root - INFO - Exporting train and test file path.
[ 2025-06-05 02:09:43,550 ] 84 root - INFO - Exported train and test file path.
[ 2025-06-05 02:09:43,550 ] 22 root - INFO - Data Initiation Completed
[ 2025-06-05 02:09:43,555 ] 27 root - INFO - Initiate the data Validation
[ 2025-06-05 02:09:43,571 ] 39 root - INFO - Required number of columns:2
[ 2025-06-05 02:09:43,571 ] 40 root - INFO - Data frame has columns:31
[ 2025-06-05 02:09:43,571 ] 39 root - INFO - Required number of columns:2
[ 2025-06-05 02:09:43,571 ] 40 root - INFO - Data frame has columns:31
[ 2025-06-05 02:09:43,727 ] 29 root - INFO - data Validation Completed
[ 2025-06-05 02:09:43,727 ] 33 root - INFO - data Transformation started
[ 2025-06-05 02:09:43,727 ] 61 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-06-05 02:09:43,727 ] 63 root - INFO - Starting data transformation
[ 2025-06-05 02:09:43,742 ] 46 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-06-05 02:09:43,742 ] 51 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-06-05 02:09:43,748 ] 50 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-05 02:09:43,750 ] 54 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-05 02:09:43,750 ] 50 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-05 02:09:43,753 ] 54 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-05 02:09:43,753 ] 37 root - INFO - data Transformation completed
[ 2025-06-05 02:09:43,753 ] 40 root - INFO - Model Training stared
